name,season,region,games,win_rate,k:d,gpm,gdm,game_duration,kills_/_game,deaths_/_game,towers_killed,towers_lost,fb%,ft%,fos%,drapg,dra%,vgpg,her%,atakhan%,dra@15,td@15,gd@15,ppg,nashpg,nash%,csm,dpm,wpm,vwpm,wcpm
100 Thieves,S15,nan,6,0.833,1.74,2000,276,32:58,22.7,13.0,9.3,3.5,50.0,50.0,66.7,3.0,70.3,2.7,66.7,100.0,0.67,0.0,205,4.5,0.83,90.0,32.1,3107,3.4,1.3,1.54
Actions Per Minute,S15,GR,10,0.8,1.25,1749,88,28:59,16.5,13.1,6.0,5.1,50.0,30.0,30.0,2.1,55.9,2.4,44.4,60.0,0.9,-0.4,-1164,3.3,0.4,80.0,27.4,2623,2.3,0.7,0.9
Ankora Gaming,S15,RS,3,0.0,0.56,1660,-398,28:50,14.0,25.0,1.0,10.7,33.3,33.3,0.0,1.0,24.4,2.0,33.3,0.0,0.67,-1.0,-3017,2.0,0.0,0.0,28.5,2195,2.2,0.47,0.66
Anyone s Legend,S15,CN,11,0.818,1.53,1948,209,35:26,20.5,13.5,7.5,4.2,81.8,63.6,45.5,2.64,62.7,2.8,63.6,0.0,0.0,0.0,537,0.0,1.0,85.2,32.8,2923,3.4,1.35,1.76
Austrian Force Willhaben,S15,DE,5,0.6,1.31,1932,156,29:01,16.0,12.2,7.2,4.2,40.0,60.0,60.0,2.6,65.0,2.4,60.0,80.0,1.2,-0.2,461,2.8,0.4,50.0,33.8,2305,3.1,1.05,1.25
Axolotl,S15,IT,7,0.5710000000000001,1.36,1893,170,30:53,18.3,13.3,6.3,5.6,42.9,71.4,57.1,2.14,57.6,3.3,28.6,42.9,1.14,0.6,930,3.86,0.86,75.0,31.8,2804,2.4,0.74,1.03
Back2TheGame,S15,PL,4,1.0,2.4,1961,327,36:04,25.8,10.8,8.8,2.8,100.0,50.0,75.0,4.0,80.0,3.0,50.0,75.0,1.25,-0.3,674,1.5,0.75,75.0,31.5,3327,3.3,0.96,1.37
Barça eSports,S15,ES,10,0.4,0.84,1801,-43,30:40,12.9,15.2,5.6,6.6,70.0,30.0,60.0,2.2,51.2,3.7,60.0,40.0,0.9,0.3,833,5.5,0.2,20.0,32.0,2474,2.9,0.92,1.06
BBL Dark Passage,S15,TR,8,0.375,0.73,1761,-175,34:17,12.6,17.3,4.6,8.1,62.5,25.0,37.5,2.0,42.1,2.5,37.5,25.0,1.0,-0.3,-1150,3.63,0.25,18.8,32.7,2132,3.1,1.1,1.45
BeFive,S15,RS,3,1.0,3.09,2068,471,29:26,23.7,7.7,10.3,2.0,0.0,66.7,100.0,3.33,82.2,1.0,66.7,100.0,1.67,1.0,2978,5.33,0.67,75.0,33.7,2956,2.6,0.8,1.06
Berlin International Gaming,S15,DE,5,0.8,1.79,1940,272,32:09,13.6,7.6,8.2,4.6,80.0,20.0,60.0,2.6,55.7,3.2,100.0,80.0,1.2,0.0,825,6.4,1.0,80.0,34.5,2665,3.3,1.01,1.3
Besiktas Esports,S15,TR,8,0.5,1.25,1864,71,36:09,18.4,14.6,6.9,5.9,62.5,50.0,62.5,3.13,64.5,2.9,50.0,37.5,1.0,0.1,1266,6.0,0.5,37.5,33.2,2596,3.2,1.29,1.62
Bilibili Gaming,S15,CN,6,1.0,2.48,2033,374,31:24,18.2,7.3,9.3,2.2,50.0,83.3,50.0,3.33,81.7,3.3,33.3,0.0,0.0,0.0,1235,0.0,0.67,80.0,34.9,2698,3.4,1.31,1.81
BK ROG Esports,S15,FR,6,0.833,1.64,1971,240,35:09,20.5,12.5,9.0,3.0,66.7,83.3,83.3,2.83,58.6,3.7,66.7,66.7,1.17,0.2,373,4.33,0.83,66.7,33.2,2944,2.8,0.93,1.65
BNK FearX,S15,KR,13,0.231,0.61,1727,-202,30:13,11.2,18.2,4.3,7.0,46.2,38.5,30.8,1.46,37.3,2.8,46.2,23.1,0.85,0.2,-652,3.38,0.31,43.8,31.6,2529,3.3,1.32,1.39
BNK FEARX Youth,S15,KR,13,0.615,1.25,1868,111,30:30,17.4,13.9,6.1,4.6,38.5,30.8,38.5,2.62,69.7,2.2,69.2,76.9,1.31,-0.5,-417,3.77,0.46,45.0,32.1,2947,3.1,1.13,1.4
BoostGate Esports,S15,TR,8,0.5,1.24,1879,89,33:46,18.3,14.8,7.5,5.3,75.0,75.0,62.5,1.88,42.9,4.4,62.5,50.0,0.38,0.8,1683,5.75,0.88,73.8,31.1,2811,3.3,1.3,1.36
BRUTE,S15,CZ,2,1.0,1.48,1973,278,35:53,21.5,14.5,10.0,4.0,100.0,100.0,100.0,4.0,78.6,5.5,50.0,0.0,1.0,1.5,1932,6.5,1.5,100.0,31.4,2926,3.1,1.07,0.85
Bulldog Esports,S15,EUW,9,0.556,1.29,1835,10,31:23,20.3,15.8,6.3,5.8,55.6,11.1,11.1,2.33,53.0,2.4,33.3,55.6,1.11,-0.7,-1082,3.0,0.56,58.3,30.1,2990,2.9,0.8,1.05
Bushido Wildcats,S15,TR,8,0.5,0.91,1764,-87,37:23,14.5,15.9,5.5,7.6,37.5,12.5,25.0,2.25,37.6,2.4,25.0,62.5,1.0,-0.4,-1470,2.13,0.5,29.2,33.0,2426,2.9,1.16,1.62
CFO Academy,S15,TW,5,0.2,0.44,1724,-287,30:55,10.6,24.2,4.4,8.6,60.0,60.0,40.0,1.6,39.3,4.8,60.0,20.0,0.8,0.0,259,4.0,0.2,16.7,32.6,2739,3.2,1.18,1.18
Chiefs Esports Club,S15,OCE,11,0.091,0.46,1676,-312,31:39,9.0,19.6,3.8,8.8,36.4,27.3,27.3,1.45,28.8,2.9,27.3,27.3,0.55,-0.1,-1527,3.91,0.45,33.3,31.7,2323,3.1,1.19,1.3
Cloud9,S15,nan,6,0.667,1.29,1892,147,32:13,14.0,10.8,7.2,4.3,66.7,50.0,66.7,3.0,72.2,3.5,33.3,50.0,1.67,0.0,198,4.5,0.67,66.7,34.3,2326,3.0,1.21,1.49
Crvena zvezda Esports,S15,RS,3,0.667,1.02,1931,146,28:40,19.0,18.3,8.3,3.3,100.0,100.0,66.7,2.33,66.7,4.3,100.0,66.7,1.0,1.7,2427,9.33,0.0,0.0,31.2,2897,2.4,0.79,0.81
CTBC Flying Oyster,S15,TW,13,0.6920000000000001,1.36,1898,208,33:37,14.1,10.3,7.9,3.9,38.5,69.2,61.5,2.46,55.4,3.3,66.7,69.2,0.58,0.5,1108,5.83,0.38,66.7,33.4,2777,3.4,1.33,1.51
Deep Cross Gaming,S15,TW,2,1.0,1.68,2076,409,28:39,23.5,13.5,9.5,2.0,0.0,100.0,50.0,1.5,37.5,4.5,50.0,100.0,0.5,1.0,1682,5.0,1.0,100.0,31.9,3278,3.5,1.22,1.34
Delta Syndicate,S15,CZ,2,0.0,0.42,1532,-582,26:44,11.0,26.5,0.5,10.0,100.0,0.0,0.0,1.5,41.7,0.5,0.0,0.0,1.5,-0.5,-2514,2.5,0.0,0.0,26.2,2285,2.1,0.27,0.8
DetonatioN FocusMe,S15,JP,12,0.25,0.75,1734,-183,31:53,12.9,17.2,3.8,8.2,33.3,16.7,16.7,1.75,40.1,2.1,33.3,25.0,1.08,-0.3,-207,3.25,0.42,31.8,31.4,2474,3.0,1.31,1.47
devils.one x Kiedys Mialem Team,S15,PL,4,0.0,0.41,1545,-364,35:04,7.3,17.5,3.0,9.5,0.0,0.0,25.0,1.5,30.0,3.0,50.0,25.0,0.5,-0.3,-780,4.0,0.0,0.0,28.7,2123,3.0,0.93,1.2
Dignitas,S15,nan,7,0.28600000000000003,0.81,1718,-147,33:18,12.1,15.0,4.0,7.7,14.3,14.3,14.3,1.57,37.1,3.3,28.6,42.9,0.43,-0.1,-1038,2.29,0.14,16.7,32.0,2617,3.2,1.15,1.45
Disguised,S15,nan,5,0.2,0.58,1693,-192,31:08,9.8,17.0,4.2,7.0,80.0,60.0,60.0,1.8,44.7,2.8,60.0,40.0,1.0,-0.2,83,2.6,0.2,33.3,31.9,2554,3.4,1.33,1.39
Divernex,S15,CZ,2,0.0,0.68,1772,-149,38:15,16.0,23.5,5.0,10.0,0.0,0.0,0.0,1.5,21.4,0.5,50.0,50.0,1.0,-1.5,-1225,2.0,0.5,50.0,30.6,2720,2.7,0.49,1.18
Diversion Gaming,S15,CZ,2,0.5,1.13,1921,60,28:58,21.5,19.0,6.0,6.0,100.0,50.0,50.0,2.0,53.3,3.0,50.0,50.0,1.0,0.0,1710,4.5,0.0,0.0,31.6,3316,2.4,0.56,0.95
DK Challengers,S15,KR,13,0.231,0.63,1678,-310,30:48,11.0,17.4,2.2,8.5,69.2,7.7,30.8,1.54,35.0,3.2,25.0,15.4,0.38,-0.5,-1621,2.08,0.38,43.8,32.3,2340,3.4,1.31,1.45
DMG Esports,S15,EUW,9,0.222,0.59,1655,-293,28:28,9.1,15.3,2.8,8.3,33.3,0.0,11.1,1.89,44.1,1.9,11.1,11.1,1.11,-0.9,-1986,3.0,0.22,66.7,31.7,2343,3.1,1.06,0.98
DN Freecs,S15,KR,15,0.267,0.8,1720,-173,32:59,10.7,13.5,4.0,7.7,53.3,26.7,26.7,1.53,37.0,2.9,40.0,40.0,0.33,0.1,-443,2.6,0.27,25.0,32.8,2481,3.4,1.39,1.42
DNF Challengers,S15,KR,12,0.75,1.32,2002,228,33:55,21.0,15.8,8.8,3.2,41.7,91.7,83.3,2.25,56.9,3.9,45.5,75.0,0.67,0.4,1494,4.75,0.75,62.5,34.0,3126,3.2,1.43,1.6
Dplus KIA,S15,KR,14,0.7140000000000001,1.58,1863,141,31:17,15.4,9.7,6.8,4.3,28.6,42.9,42.9,2.29,54.4,3.1,64.3,57.1,0.71,-0.1,401,4.29,0.43,60.0,32.7,2694,3.1,1.3,1.55
DRX,S15,KR,21,0.429,0.77,1781,-119,31:41,12.5,16.2,4.8,6.3,33.3,42.9,38.1,1.62,37.3,2.5,47.6,33.3,0.57,-0.4,-1105,2.9,0.48,38.9,32.9,2345,2.9,1.0,1.51
DRX Challengers,S15,KR,11,0.909,2.07,1958,282,32:55,18.1,8.7,8.4,2.6,36.4,90.9,72.7,3.0,67.0,3.1,63.6,72.7,0.91,0.4,857,5.45,0.82,88.9,33.9,2858,3.7,1.4,1.57
Dung Dynasty,S15,DE,9,0.556,0.91,1866,-15,34:45,17.9,19.6,7.3,6.1,66.7,33.3,33.3,2.78,55.8,2.4,50.0,22.2,1.25,-0.5,-1775,4.88,0.67,53.1,31.4,2867,2.9,0.79,1.38
Dynamo Eclot,S15,CZ,2,1.0,1.63,1958,268,34:47,19.5,12.0,9.0,3.5,50.0,50.0,50.0,2.5,50.0,5.5,100.0,50.0,0.0,1.0,1718,5.5,1.0,75.0,32.5,3288,2.7,0.75,1.24
Dynamo Eclot Talents,S15,CZ,2,0.5,1.17,1831,48,33:13,14.0,12.0,6.5,6.5,100.0,50.0,50.0,3.5,61.7,1.5,100.0,50.0,2.0,0.0,999,2.5,0.5,50.0,32.7,2367,2.7,0.69,1.2
E WIE EINFACH E-SPORTS,S15,DE,9,0.556,1.46,1844,16,32:59,15.9,10.9,6.6,7.3,44.4,22.2,44.4,2.67,58.3,2.4,33.3,66.7,0.89,-0.7,-706,3.78,0.44,43.8,31.9,2638,2.9,0.9,1.2
Edward Gaming,S15,CN,10,0.4,0.85,1791,-94,33:07,12.2,14.3,5.6,6.8,40.0,30.0,50.0,1.9,42.0,3.1,50.0,0.0,0.0,0.0,-414,0.0,0.6,40.0,32.3,2367,3.5,1.36,1.43
Eintracht Frankfurt,S15,DE,8,0.375,0.66,1725,-208,35:39,12.8,19.4,4.9,8.1,50.0,12.5,12.5,1.88,28.8,2.1,33.3,50.0,0.86,-0.1,-1403,4.14,0.75,32.1,31.1,2499,3.7,1.09,1.24
Eintracht Spandau,S15,DE,6,0.667,1.33,1942,158,31:28,21.3,15.8,6.5,5.0,33.3,66.7,66.7,2.5,55.8,4.2,66.7,66.7,0.83,0.5,1547,4.5,0.67,80.0,31.8,3344,3.0,1.09,1.16
EKO Esports,S15,IT,6,0.16699999999999998,0.75,1717,-211,29:17,12.3,16.5,3.2,8.2,50.0,50.0,33.3,2.33,53.1,2.2,50.0,50.0,1.17,-0.7,-1421,5.0,0.17,25.0,31.4,2372,2.2,0.66,0.91
Entropiq,S15,CZ,2,0.5,0.84,1809,-32,34:11,13.5,16.0,7.0,6.5,50.0,50.0,50.0,3.0,60.0,3.5,0.0,50.0,1.0,-0.5,-294,5.0,0.5,50.0,33.0,2167,2.8,0.93,1.35
Esprit Shonen,S15,FR,10,0.7,1.32,1991,248,32:57,20.7,15.5,9.2,4.0,50.0,90.0,80.0,2.9,60.1,4.1,70.0,80.0,0.9,0.5,1262,5.0,1.0,85.2,32.5,2921,3.1,0.96,1.35
eSuba,S15,CZ,2,1.0,1.56,2082,382,33:14,28.0,18.0,10.0,3.5,50.0,100.0,100.0,3.0,60.0,4.5,100.0,100.0,1.0,0.5,-160,2.0,1.0,100.0,31.9,3488,3.0,1.07,1.14
Eternal Fire,S15,TR,8,0.75,1.39,1932,200,33:04,18.8,13.4,7.5,4.5,75.0,62.5,62.5,2.88,63.6,3.8,50.0,75.0,1.0,0.3,1227,3.38,0.88,75.0,33.5,2885,3.3,1.43,1.5
EXILE esports,S15,CZ,2,0.0,0.29,1589,-446,31:43,6.0,21.0,2.0,9.0,0.0,0.0,0.0,1.5,33.3,1.5,0.0,0.0,1.0,-1.0,-2148,3.0,0.0,0.0,32.3,2536,2.5,0.55,0.84
Fluxo,S15,LAT,4,0.0,0.45,1624,-393,31:42,8.5,18.5,1.8,9.5,50.0,0.0,0.0,0.5,10.0,1.3,0.0,25.0,0.5,-0.5,-2228,2.0,0.0,0.0,31.4,1897,3.4,1.36,1.23
FlyQuest,S15,nan,8,0.75,1.24,1877,152,33:31,15.4,12.4,7.3,4.0,37.5,87.5,75.0,2.0,42.3,3.1,62.5,50.0,0.5,0.3,835,6.0,0.88,75.0,32.5,2780,3.3,1.05,1.3
Fnatic,S15,EUW,9,0.889,1.95,2005,331,30:51,18.2,9.3,8.4,3.8,44.4,44.4,66.7,2.89,69.3,2.7,33.3,77.8,1.11,0.0,1590,6.22,0.78,75.0,33.7,3010,3.1,0.86,1.38
Forsaken,S15,PL,8,0.25,0.74,1818,-83,32:52,14.9,20.0,5.0,7.0,37.5,62.5,37.5,2.25,48.1,2.4,57.1,50.0,1.0,0.3,10,4.25,0.75,43.8,32.1,2846,3.0,1.05,1.33
Frank Esports,S15,TW,2,1.0,6.29,2003,410,26:31,22.0,3.5,8.5,2.0,50.0,100.0,100.0,2.5,66.7,1.0,50.0,100.0,1.0,0.5,1174,5.0,0.0,0.0,33.4,3126,3.2,1.08,1.11
Fukuoka SoftBank HAWKS gaming,S15,JP,11,0.273,0.69,1683,-260,29:00,11.3,16.3,3.5,7.1,54.5,9.1,36.4,1.36,36.8,2.8,45.5,27.3,0.73,-0.2,-1498,2.45,0.27,42.9,30.6,2411,3.1,1.36,1.22
Funplus Phoenix,S15,CN,7,0.14300000000000002,0.56,1742,-228,33:41,9.4,16.9,4.9,9.0,14.3,28.6,14.3,2.0,41.9,2.6,42.9,0.0,0.0,0.0,-1939,0.0,0.29,33.3,33.0,2061,3.2,1.28,1.49
FURIA,S15,LAT,8,0.5,1.22,1852,88,31:05,12.0,9.9,6.4,5.4,50.0,87.5,75.0,2.5,58.5,3.4,75.0,62.5,1.38,0.5,628,4.63,0.63,64.3,33.9,2235,3.1,1.24,1.52
G2 Esports,S15,EUW,9,0.667,1.46,1908,159,32:08,15.9,10.9,7.7,5.0,44.4,44.4,44.4,2.44,56.0,3.0,44.4,55.6,1.0,0.1,1206,6.44,0.67,58.3,33.2,2565,2.9,1.02,1.45
Galions,S15,FR,7,0.5710000000000001,1.35,1813,42,31:05,15.4,11.4,4.9,5.4,28.6,42.9,71.4,2.43,61.0,2.4,57.1,14.3,0.86,0.0,284,3.29,0.29,40.0,32.6,2671,3.4,1.21,1.52
GAM Esports,S15,VN,13,0.462,1.06,1832,37,33:07,13.2,12.5,6.0,6.3,38.5,46.2,53.8,2.54,58.6,2.2,50.0,53.8,1.17,0.0,-163,3.5,0.54,66.7,33.5,2368,3.4,1.33,1.4
Gamespace Mediterranean College Esports,S15,GR,10,0.5,0.92,1808,-29,33:28,14.6,15.8,6.3,6.6,50.0,60.0,60.0,2.3,48.3,3.3,70.0,30.0,0.8,0.3,175,5.2,0.6,45.0,31.7,2869,2.8,0.86,1.09
GameWard,S15,FR,6,0.16699999999999998,0.61,1662,-275,39:02,11.2,18.3,4.0,8.8,66.7,33.3,50.0,2.17,36.9,4.0,66.7,16.7,0.83,0.0,-1092,4.0,0.33,11.1,30.8,2637,3.2,1.08,1.47
Gen.G eSports,S15,KR,11,0.636,1.13,1926,179,33:03,15.1,13.4,7.2,5.0,45.5,72.7,81.8,3.09,71.4,3.6,81.8,63.6,1.36,0.4,1259,5.73,0.55,52.1,33.4,2956,3.4,1.42,1.74
Gen.G Global Academy,S15,KR,17,0.294,0.73,1762,-141,32:00,12.5,16.8,4.8,7.2,47.1,47.1,58.8,2.0,49.3,3.4,52.9,35.3,1.29,-0.1,-410,4.0,0.18,19.2,32.2,2552,3.8,1.56,1.52
Gentle Mates,S15,FR,7,0.5710000000000001,1.02,1812,16,38:07,12.3,11.9,6.6,6.1,42.9,14.3,28.6,3.71,63.1,2.1,28.6,42.9,1.57,-0.4,-875,2.43,0.86,61.9,34.2,2318,3.8,1.35,1.73
GIANTX,S15,EUW,9,0.556,1.06,1821,-12,36:29,14.8,14.0,6.4,7.0,55.6,44.4,44.4,2.33,39.2,2.7,44.4,44.4,0.67,-0.3,-381,3.67,1.0,55.6,32.2,2802,3.2,1.13,1.56
GIANTX Pride,S15,ES,10,0.7,1.43,1939,234,31:01,16.3,11.4,8.1,3.8,50.0,70.0,80.0,1.9,55.0,3.9,80.0,50.0,0.6,0.7,2237,5.7,0.6,57.1,32.7,2610,3.5,1.24,1.36
GLORE,S15,CZ,2,0.5,1.32,1903,146,26:16,16.5,12.5,7.0,5.0,0.0,50.0,50.0,1.0,33.3,3.0,50.0,100.0,0.5,-0.5,956,4.5,0.0,0.0,32.7,2861,2.5,0.76,0.86
GMBLERS Esports,S15,IT,8,0.625,1.2,1872,73,31:45,16.5,13.8,6.9,5.5,50.0,50.0,50.0,2.5,58.8,2.4,50.0,50.0,1.5,-0.1,438,4.5,0.5,40.5,32.5,2541,2.7,0.93,1.04
Ground Zero Gaming,S15,TW,2,0.0,0.71,1791,-196,32:53,16.0,22.5,4.0,8.5,50.0,100.0,50.0,2.0,45.0,3.0,100.0,100.0,0.5,0.0,-26,4.0,1.0,50.0,30.7,2131,3.0,1.02,1.4
Guasones,S15,ES,9,0.111,0.62,1627,-344,29:19,9.8,15.8,2.3,9.0,55.6,22.2,11.1,1.89,45.7,1.6,22.2,11.1,1.0,-0.6,-1940,3.33,0.11,25.0,30.6,2431,2.8,1.03,1.14
Hanwha Life eSports,S15,KR,13,0.6920000000000001,1.35,1905,146,32:30,16.8,12.5,7.3,4.2,46.2,69.2,38.5,2.46,56.2,2.5,38.5,61.5,0.69,0.2,671,5.15,0.69,77.3,33.2,2659,3.3,1.23,1.48
HELL PIGS,S15,TW,5,0.8,1.54,2004,201,33:28,24.4,15.6,8.6,5.2,40.0,0.0,40.0,2.4,56.0,2.0,20.0,40.0,0.8,-0.2,-719,4.2,0.8,70.0,32.1,3057,3.2,1.33,1.43
HLE Challengers,S15,KR,14,0.214,0.8,1760,-118,33:36,13.1,16.3,3.6,7.6,35.7,42.9,35.7,1.64,36.2,3.1,50.0,57.1,0.43,-0.1,-352,3.29,0.43,42.3,33.0,2529,3.2,1.35,1.43
Hungkuang Falcon,S15,TW,2,0.0,0.39,1581,-492,27:05,8.5,22.0,1.0,10.5,50.0,0.0,50.0,2.0,62.5,2.5,0.0,0.0,1.5,-2.5,-3898,3.5,0.0,0.0,29.1,2106,2.8,0.92,1.04
Ici Japon Corp. Esport,S15,FR,6,0.667,1.12,1877,106,36:59,18.7,16.7,6.8,5.0,33.3,50.0,33.3,2.5,53.1,3.2,66.7,33.3,0.83,0.2,896,4.67,0.67,43.3,32.6,3107,3.6,1.29,1.45
Inside Games,S15,CZ,2,0.0,0.43,1581,-545,23:27,7.5,17.5,1.0,8.5,0.0,0.0,0.0,1.0,33.3,0.0,0.0,0.0,1.0,-1.0,-4428,1.5,0.0,0.0,31.0,1716,2.2,0.55,0.72
Invictus Gaming,S15,CN,8,0.5,1.0,1825,29,33:29,13.5,13.5,5.9,5.1,25.0,50.0,62.5,2.38,54.4,2.8,75.0,0.0,0.0,0.0,96,0.0,0.38,41.7,33.7,2609,3.2,1.29,1.66
Isurus Estral,S15,LAT,7,0.7140000000000001,1.08,1899,146,33:48,14.3,13.3,8.0,5.0,57.1,57.1,42.9,2.43,62.1,2.7,57.1,28.6,0.86,-0.3,-117,4.57,0.86,60.0,33.8,3020,3.2,1.34,1.42
IZI Dream,S15,FR,10,0.6,1.29,1821,35,31:47,16.1,12.5,7.2,4.9,60.0,40.0,40.0,1.8,42.6,3.2,60.0,50.0,0.5,0.0,340,4.6,0.6,50.0,31.4,2588,2.8,0.95,1.35
JD Gaming,S15,CN,13,0.6920000000000001,1.39,1939,181,32:39,16.5,11.8,7.7,4.8,61.5,53.8,38.5,1.85,53.7,3.4,53.8,0.0,0.0,0.0,1149,0.0,0.38,37.0,33.9,2914,3.7,1.3,1.41
Joblife,S15,FR,8,0.25,0.72,1746,-150,34:39,11.1,15.5,4.5,8.3,12.5,62.5,25.0,2.13,45.6,3.1,50.0,50.0,0.5,0.3,200,4.38,0.5,31.3,32.4,2490,3.0,1.06,1.29
KAOS e-sport,S15,EUW,7,0.429,1.14,1780,-100,30:00,18.7,16.4,5.3,6.6,57.1,42.9,28.6,1.71,35.2,2.6,42.9,28.6,0.71,-0.4,-374,4.14,0.14,25.0,30.5,2607,2.6,0.78,1.09
Karmine Corp,S15,EUW,9,0.667,1.25,1912,114,32:37,15.8,12.7,7.7,5.4,22.2,44.4,33.3,2.67,49.1,2.8,33.3,55.6,0.78,0.1,-535,5.33,0.33,35.7,33.6,2857,3.5,1.19,1.55
